name,album,release_year,cluster,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
Concert Intro Music - Live,Licked Live In NYC,2022,0,33,0.463,0.993,-12.913,0.11,0.0824,0.996,0.932,0.0302,118.001,0.8106666666666666
Street Fighting Man - Live,Licked Live In NYC,2022,0,34,0.326,0.965,-4.803,0.0759,0.437,0.233,0.961,0.318,131.455,4.21955
Start Me Up - Live,Licked Live In NYC,2022,0,34,0.386,0.969,-4.936,0.115,0.416,0.4,0.956,0.313,130.066,4.386
If You Can't Rock Me - Live,Licked Live In NYC,2022,0,32,0.369,0.985,-5.535,0.193,0.567,0.000107,0.895,0.147,132.994,5.098
Don’t Stop - Live,Licked Live In NYC,2022,0,32,0.303,0.969,-5.098,0.093,0.4,0.0559,0.966,0.206,130.533,5.0851
Monkey Man - Live,Licked Live In NYC,2022,0,31,0.34,0.956,-5.539,0.0915,0.275,0.125,0.741,0.125,101.628,4.07155
Angie - Live,Licked Live In NYC,2022,0,31,0.262,0.81,-6.851,0.0969,0.561,2.76e-06,0.972,0.394,77.52,4.0917666666666666
Let It Bleed - Live,Licked Live In NYC,2022,0,30,0.413,0.971,-5.509,0.0873,0.317,0.000267,0.993,0.484,128.958,5.2264333333333335
Midnight Rambler - Live,Licked Live In NYC,2022,0,30,0.268,0.942,-6.018,0.119,0.416,0.0408,0.959,0.285,139.452,13.01955
Tumbling Dice - Live,Licked Live In NYC,2022,0,29,0.31,0.944,-5.074,0.128,0.401,0.0752,0.974,0.188,119.782,5.556883333333333
Band Introductions - Live,Licked Live In NYC,2022,0,27,0.262,0.939,-9.269,0.222,0.732,0.00952,0.936,0.0317,79.42,4.740433333333334
Thru And Thru - Live,Licked Live In NYC,2022,2,27,0.278,0.651,-7.024,0.0553,0.672,0.000425,0.893,0.334,95.853,7.206
Happy - Live,Licked Live In NYC,2022,0,27,0.322,0.947,-4.12,0.0602,0.473,0.163,0.955,0.498,136.149,3.7093333333333334
Gimme Shelter - Live,Licked Live In NYC,2022,0,28,0.36,0.98,-5.104,0.104,0.423,0.00219,0.98,0.136,119.779,7.173766666666666
You Got Me Rocking - Live,Licked Live In NYC,2022,0,26,0.388,0.974,-4.982,0.0974,0.32,0.0955,0.966,0.166,128.486,3.7924333333333333
Can't You Hear Me Knocking - Live,Licked Live In NYC,2022,0,27,0.401,0.921,-5.664,0.0517,0.435,0.0366,0.976,0.734,144.848,11.1331
Honky Tonk Women - Live,Licked Live In NYC,2022,0,27,0.401,0.94,-4.858,0.0928,0.536,0.00183,0.937,0.342,112.304,5.018433333333333
Satisfaction - Live,Licked Live In NYC,2022,0,28,0.256,0.979,-4.472,0.0906,0.5,0.309,0.969,0.24,142.464,6.18555
It's Only Rock 'N' Roll - Live,Licked Live In NYC,2022,0,25,0.378,0.986,-5.232,0.0833,0.675,0.621,0.971,0.436,140.253,5.066
When The Whip Comes Down - Live,Licked Live In NYC,2022,0,24,0.292,0.986,-5.827,0.131,0.336,0.282,0.975,0.179,149.383,4.85155
Brown Sugar - Live,Licked Live In NYC,2022,0,25,0.34,0.989,-4.734,0.108,0.439,0.722,0.982,0.164,139.361,5.626666666666667
Sympathy For The Devil - Live,Licked Live In NYC,2022,0,26,0.447,0.979,-4.942,0.114,0.424,2.17e-05,0.953,0.295,109.191,6.824433333333333
Jumpin Jack Flash - Live,Licked Live In NYC,2022,0,25,0.192,0.964,-4.264,0.0609,0.313,0.538,0.968,0.191,138.005,6.178883333333333
Honky Tonk Women - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,32,0.43,0.901,-6.215,0.045,0.162,0.011,0.694,0.89,112.077,3.6091
All Down The Line - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,29,0.245,0.965,-5.153,0.0828,0.107,0.0547,0.95,0.697,157.346,4.210666666666667
Hand Of Fate - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,29,0.477,0.899,-6.189,0.0425,0.0654,0.0376,0.727,0.805,129.991,4.464433333333333
Route 66 - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,30,0.473,0.923,-6.204,0.0791,0.0975,0.00157,0.722,0.792,144.625,3.22755
Fool To Cry - Live At The El Mocambo 1977,Live At The El Mocambo,2022,2,29,0.331,0.692,-7.105,0.045,0.434,0.0143,0.889,0.512,76.21,4.956433333333333
Crazy Mama - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,29,0.447,0.883,-6.266,0.0371,0.0288,0.00554,0.726,0.556,117.604,4.986883333333333
Mannish Boy - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,27,0.272,0.76,-7.508,0.0526,0.28,0.00087,0.962,0.782,201.585,6.047766666666667
Crackin’ Up - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,27,0.594,0.801,-7.448,0.0277,0.308,0.103,0.699,0.925,105.572,4.241766666666667
Dance Little Sister - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,27,0.311,0.912,-6.316,0.103,0.0647,0.0426,0.851,0.713,154.192,4.87555
Around And Around - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,27,0.429,0.869,-7.467,0.042,0.0645,0.00543,0.848,0.79,97.223,3.8866666666666667
Tumbling Dice - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,32,0.45,0.842,-7.254,0.0343,0.133,0.0358,0.758,0.768,107.825,4.9371
Hot Stuff - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,27,0.497,0.914,-6.82,0.0487,0.0372,0.181,0.753,0.791,110.005,5.476883333333333
Star Star - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,26,0.251,0.926,-6.013,0.0997,0.0252,0.0661,0.901,0.767,155.776,4.408216666666666
Let's Spend The Night Together - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,26,0.37,0.89,-6.004,0.0408,0.122,0.000808,0.7,0.723,78.472,3.8042166666666666
Worried Life Blues - Live At The El Mocambo 1977,Live At The El Mocambo,2022,2,26,0.417,0.677,-8.309,0.0461,0.239,0.00296,0.759,0.589,111.718,5.4451
Little Red Rooster - Live At The El Mocambo 1977,Live At The El Mocambo,2022,2,25,0.292,0.608,-8.809,0.0341,0.194,0.00879,0.746,0.43,98.803,4.849333333333333
It’s Only Rock ’N’ Roll (But I Like It) - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,29,0.327,0.919,-5.885,0.0379,0.119,0.00432,0.94,0.901,141.465,4.922883333333333
Rip This Joint - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,25,0.437,0.948,-5.321,0.0943,0.0293,0.756,0.976,0.727,116.343,2.18555
Brown Sugar - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,25,0.347,0.916,-5.455,0.081,0.0482,0.0499,0.973,0.795,150.435,3.411766666666667
Jumpin’ Jack Flash - Live At The El Mocambo 1977,Live At The El Mocambo,2022,0,27,0.219,0.915,-6.613,0.104,0.007,0.652,0.975,0.64,151.344,5.439766666666666
Melody - Live At The El Mocambo 1977,Live At The El Mocambo,2022,2,24,0.494,0.727,-7.673,0.0418,0.497,0.0,0.894,0.729,126.323,4.706883333333334
Luxury - Live At The El Mocambo 1977,Live At The El Mocambo,2022,3,24,0.568,0.789,-6.731,0.0284,0.126,0.0515,0.728,0.946,127.512,5.196
Worried About You - Live At The El Mocambo 1977,Live At The El Mocambo,2022,2,25,0.389,0.717,-6.576,0.0263,0.511,0.00627,0.714,0.633,82.795,8.184216666666666
Start Me Up - Remastered 2021,Tattoo You (Super Deluxe),2021,3,39,0.555,0.956,-2.147,0.0577,0.0302,0.367,0.0753,0.933,121.752,3.56955
Hang Fire - Remastered 2021,Tattoo You (Super Deluxe),2021,3,29,0.421,0.927,-1.734,0.0345,0.0136,0.0797,0.264,0.922,151.096,2.3604333333333334
Slave - Remastered 2021,Tattoo You (Super Deluxe),2021,3,29,0.558,0.898,-4.314,0.0515,0.13,0.306,0.0562,0.853,133.338,6.5404333333333335
Little T&A - Remastered 2021,Tattoo You (Super Deluxe),2021,3,28,0.497,0.953,-1.978,0.0328,0.156,0.0429,0.667,0.801,135.453,3.4073333333333333
Black Limousine - Remastered 2021,Tattoo You (Super Deluxe),2021,3,25,0.48,0.934,-1.382,0.0715,0.122,0.198,0.701,0.825,108.894,3.58155
Neighbours - Remastered 2021,Tattoo You (Super Deluxe),2021,3,24,0.479,0.981,-1.712,0.071,0.0754,0.00563,0.245,0.671,82.412,3.5717666666666665
Worried About You - Remastered 2021,Tattoo You (Super Deluxe),2021,3,26,0.423,0.714,-4.01,0.0318,0.0804,0.000517,0.082,0.383,84.351,5.304216666666667
Tops - Remastered 2021,Tattoo You (Super Deluxe),2021,3,26,0.57,0.826,-3.225,0.0457,0.0952,4.6e-05,0.11,0.634,80.247,3.818216666666667
Heaven - Remastered 2021,Tattoo You (Super Deluxe),2021,2,31,0.611,0.559,-5.833,0.0325,0.174,0.0167,0.132,0.111,114.128,4.386433333333334
No Use In Crying - Remastered 2021,Tattoo You (Super Deluxe),2021,2,25,0.594,0.609,-3.171,0.0311,0.578,0.000337,0.229,0.404,142.838,3.4422166666666665
Waiting On A Friend - Remastered 2021,Tattoo You (Super Deluxe),2021,3,29,0.57,0.86,-2.903,0.0315,0.0921,0.111,0.632,0.885,116.607,4.596
Living In The Heart Of Love,Tattoo You (Super Deluxe),2021,3,26,0.463,0.925,-1.392,0.0962,0.00869,0.0825,0.0791,0.761,132.485,4.21755
Fiji Jim,Tattoo You (Super Deluxe),2021,0,23,0.33,0.96,-1.014,0.204,0.0247,0.00585,0.044,0.624,179.524,4.007766666666667
Troubles A’ Comin,Tattoo You (Super Deluxe),2021,3,26,0.582,0.926,-2.732,0.0612,0.0393,0.0604,0.0766,0.514,104.892,4.26955
"Shame, Shame, Shame",Tattoo You (Super Deluxe),2021,3,22,0.475,0.908,-3.087,0.0419,0.00699,0.043,0.319,0.564,78.362,4.225766666666667
Drift Away,Tattoo You (Super Deluxe),2021,3,31,0.421,0.674,-3.404,0.0589,0.0971,1.05e-05,0.118,0.603,78.519,4.109766666666666
It's A Lie,Tattoo You (Super Deluxe),2021,3,22,0.528,0.978,-2.213,0.119,0.141,0.00669,0.406,0.619,127.681,4.95
Come To The Ball,Tattoo You (Super Deluxe),2021,3,28,0.44,0.971,-2.498,0.0448,0.0127,0.339,0.371,0.735,136.086,3.6786666666666665
"Fast Talking, Slow Walking",Tattoo You (Super Deluxe),2021,2,22,0.436,0.724,-2.89,0.0313,0.429,0.00274,0.0523,0.277,73.698,5.67
Start Me Up,Tattoo You (Super Deluxe),2021,3,29,0.661,0.879,-2.911,0.0778,0.00482,0.00723,0.303,0.659,125.967,4.172666666666666
Under My Thumb - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,22,0.374,0.954,-7.062,0.0766,0.178,0.908,0.988,0.582,140.934,3.8964333333333334
When The Whip Comes Down - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,19,0.382,0.972,-6.821,0.102,0.194,0.959,0.67,0.436,79.249,4.5591
Let's Spend The Night Together - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,20,0.382,0.959,-5.971,0.124,0.458,0.964,0.955,0.426,157.371,4.367333333333334
Shattered - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,19,0.362,0.985,-6.276,0.163,0.376,0.501,0.935,0.289,162.353,4.684433333333334
Neighbours - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,18,0.402,0.969,-6.204,0.104,0.351,0.977,0.947,0.379,92.289,4.1691
Black Limousine - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,18,0.307,0.963,-6.042,0.217,0.292,0.927,0.994,0.528,120.546,3.8566666666666665
Just My Imagination (Running Away With Me) - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,19,0.314,0.935,-6.393,0.0913,0.241,0.932,0.944,0.61,117.422,9.536433333333333
Twenty Flight Rock - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,3,18,0.548,0.968,-5.737,0.0581,0.299,0.872,0.877,0.64,105.267,1.7686666666666666
Going To A Go-Go - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,3,19,0.572,0.932,-5.955,0.0671,0.458,0.773,0.941,0.624,127.818,3.6666666666666665
Chantilly Lace - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,3,18,0.485,0.952,-5.495,0.0605,0.427,0.791,0.958,0.752,123.483,4.193766666666667
Let Me Go - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,17,0.286,0.978,-6.113,0.135,0.114,0.917,0.903,0.701,189.824,4.09555
Time Is On My Side - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,18,0.304,0.831,-6.507,0.0992,0.605,0.00664,0.89,0.473,174.336,3.851766666666667
Beast Of Burden - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,3,20,0.556,0.882,-6.754,0.0496,0.393,0.126,0.963,0.783,111.12,7.3773333333333335
Let It Bleed - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,3,18,0.492,0.969,-6.337,0.0617,0.191,0.185,0.904,0.784,129.238,6.006433333333334
You Can't Always Get What You Want - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,18,0.358,0.843,-7.031,0.0851,0.387,0.193,0.988,0.576,77.872,10.804433333333334
Band Introductions - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,15,0.345,0.946,-10.683,0.425,0.898,0.0514,0.732,0.0316,78.893,1.1924333333333332
Little T&A - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,17,0.423,0.97,-6.179,0.101,0.0607,0.0516,0.975,0.463,78.767,3.352
Tumbling Dice - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,17,0.446,0.915,-6.404,0.0975,0.541,0.296,0.966,0.526,117.936,4.4511
She's So Cold - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,18,0.36,0.952,-6.579,0.138,0.219,0.673,0.736,0.618,168.863,4.174883333333334
Hang Fire - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,17,0.197,0.979,-5.8,0.0954,0.228,0.712,0.993,0.57,171.766,2.451766666666667
Miss You - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,3,19,0.509,0.874,-6.823,0.0498,0.255,0.104,0.911,0.683,116.717,7.8097666666666665
Honky Tonk Women - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,3,18,0.412,0.923,-6.532,0.0506,0.243,0.0509,0.904,0.624,116.167,3.5237666666666665
Brown Sugar - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,16,0.267,0.985,-5.808,0.118,0.303,0.344,0.967,0.321,146.544,3.39955
Start Me Up - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,17,0.401,0.986,-5.755,0.14,0.489,0.666,0.976,0.493,138.949,4.664433333333333
Jumpin' Jack Flash - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,17,0.227,0.978,-6.262,0.103,0.162,0.917,0.986,0.481,155.773,6.02555
(I Can't Get No) Satisfaction - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021,0,16,0.245,0.965,-5.666,0.0615,0.339,0.537,0.96,0.51,169.329,6.033766666666667
Start Me Up - Remastered 2021,Tattoo You,2021,3,12,0.555,0.956,-2.147,0.0577,0.0302,0.367,0.0753,0.933,121.752,3.56955
Hang Fire - Remastered 2021,Tattoo You,2021,3,11,0.421,0.927,-1.734,0.0345,0.0136,0.0797,0.264,0.922,151.096,2.3604333333333334
Slave - Remastered 2021,Tattoo You,2021,3,11,0.558,0.898,-4.314,0.0515,0.13,0.306,0.0562,0.853,133.338,6.5404333333333335
Little T&A - Remastered 2021,Tattoo You,2021,3,13,0.497,0.953,-1.978,0.0328,0.156,0.0429,0.667,0.801,135.453,3.4073333333333333
Black Limousine - Remastered 2021,Tattoo You,2021,3,9,0.48,0.934,-1.382,0.0715,0.122,0.198,0.701,0.825,108.894,3.58155
Neighbours - Remastered 2021,Tattoo You,2021,3,8,0.479,0.981,-1.712,0.071,0.0754,0.00563,0.245,0.671,82.412,3.5717666666666665
Worried About You - Remastered 2021,Tattoo You,2021,3,10,0.423,0.714,-4.01,0.0318,0.0804,0.000517,0.082,0.383,84.351,5.304216666666667
Tops - Remastered 2021,Tattoo You,2021,3,9,0.57,0.826,-3.225,0.0457,0.0952,4.6e-05,0.11,0.634,80.247,3.818216666666667
Heaven - Remastered 2021,Tattoo You,2021,2,12,0.611,0.559,-5.833,0.0325,0.174,0.0167,0.132,0.111,114.128,4.386433333333334
No Use In Crying - Remastered 2021,Tattoo You,2021,2,9,0.594,0.609,-3.171,0.0311,0.578,0.000337,0.229,0.404,142.838,3.4422166666666665
Waiting On A Friend - Remastered 2021,Tattoo You,2021,3,11,0.57,0.86,-2.903,0.0315,0.0921,0.111,0.632,0.885,116.607,4.596
Intro - Live,A Bigger Bang (Live),2021,2,17,0.183,0.967,-13.77,0.088,0.258,0.688,0.87,0.0159,46.525,2.179316666666667
Jumpin’ Jack Flash - Live,A Bigger Bang (Live),2021,0,20,0.258,0.988,-4.036,0.106,0.325,0.89,0.969,0.218,142.035,3.9842166666666667
It's Only Rock 'N' Roll (But I Like It) - Live,A Bigger Bang (Live),2021,0,19,0.353,0.995,-4.113,0.141,0.414,0.754,0.876,0.131,142.961,4.475766666666667
You Got Me Rocking - Live,A Bigger Bang (Live),2021,0,19,0.422,0.971,-4.523,0.0987,0.197,0.307,0.974,0.343,137.572,3.58155
Tumbling Dice - Live,A Bigger Bang (Live),2021,0,18,0.33,0.971,-4.435,0.129,0.436,0.478,0.984,0.263,125.392,4.843333333333334
"Oh No, Not You Again - Live",A Bigger Bang (Live),2021,0,18,0.359,0.978,-4.103,0.147,0.23,0.794,0.979,0.253,143.921,4.49
Wild Horses - Live,A Bigger Bang (Live),2021,2,23,0.287,0.757,-6.57,0.0455,0.369,0.0,0.729,0.452,78.74,5.615766666666667
Rain Fall Down - Live,A Bigger Bang (Live),2021,0,18,0.449,0.954,-5.158,0.11,0.339,0.0285,0.946,0.374,100.042,5.4851
Midnight Rambler - Live,A Bigger Bang (Live),2021,0,19,0.291,0.955,-5.177,0.192,0.495,0.566,0.817,0.255,144.032,12.2451
Night Time Is The Right Time - Live,A Bigger Bang (Live),2021,0,18,0.298,0.965,-3.67,0.118,0.536,0.0253,0.951,0.237,115.396,5.306216666666667
Band Intros - Live,A Bigger Bang (Live),2021,2,13,0.268,0.838,-8.805,0.164,0.914,0.0504,0.953,0.0327,85.691,3.4148833333333335
This Place Is Empty - Live,A Bigger Bang (Live),2021,0,16,0.245,0.783,-7.691,0.0552,0.337,0.00109,0.874,0.493,177.205,3.792
Happy - Live,A Bigger Bang (Live),2021,0,15,0.229,0.985,-4.765,0.156,0.377,0.0322,0.713,0.164,137.867,3.9122166666666667
Miss You - Live,A Bigger Bang (Live),2021,0,21,0.442,0.979,-4.445,0.143,0.596,0.0137,0.82,0.281,122.191,6.010433333333333
Rough Justice - Live,A Bigger Bang (Live),2021,0,16,0.281,0.993,-3.786,0.154,0.453,0.888,0.823,0.11,144.554,3.403766666666667
Get Off Of My Cloud - Live,A Bigger Bang (Live),2021,0,16,0.357,0.994,-3.642,0.187,0.455,0.855,0.8,0.146,136.054,3.168
Honky Tonk Women - Live,A Bigger Bang (Live),2021,0,16,0.396,0.983,-4.186,0.0874,0.389,0.444,0.951,0.339,124.933,4.200216666666667
Sympathy For The Devil - Live,A Bigger Bang (Live),2021,0,24,0.569,0.956,-4.486,0.116,0.313,0.138,0.881,0.387,110.207,8.028666666666666
Start Me Up - Live,A Bigger Bang (Live),2021,0,22,0.431,0.983,-3.722,0.0856,0.333,0.798,0.921,0.365,130.594,4.080883333333333
Brown Sugar - Live,A Bigger Bang (Live),2021,0,20,0.377,0.982,-3.728,0.116,0.237,0.807,0.989,0.221,134.148,6.058216666666667
You Can't Always Get What You Want - Live,A Bigger Bang (Live),2021,0,16,0.241,0.902,-4.663,0.0954,0.514,0.0241,0.95,0.384,176.337,7.354883333333333
(I Can't Get No) Satisfaction - Live,A Bigger Bang (Live),2021,0,16,0.287,0.984,-4.119,0.113,0.241,0.907,0.952,0.112,142.555,8.255333333333333
Start Me Up - Live,Steel Wheels Live,2020,0,23,0.475,0.987,-4.37,0.0766,0.0166,0.0239,0.964,0.426,133.137,3.7891
Bitch - Live,Steel Wheels Live,2020,0,19,0.376,0.969,-4.201,0.104,0.0298,0.0122,0.967,0.286,76.705,3.4611
Sad Sad Sad - Live,Steel Wheels Live,2020,0,20,0.234,0.972,-4.372,0.0944,0.0342,0.0038,0.97,0.256,157.936,3.7866666666666666
Undercover Of The Night - Live,Steel Wheels Live,2020,0,21,0.347,0.98,-4.62,0.201,0.0815,0.0,0.974,0.211,124.126,4.342216666666666
Harlem Shuffle - Live,Steel Wheels Live,2020,0,21,0.391,0.963,-4.096,0.0907,0.0782,1.13e-06,0.964,0.309,121.483,4.561333333333334
Tumbling Dice - Live,Steel Wheels Live,2020,0,19,0.344,0.966,-4.091,0.0815,0.0606,9.58e-06,0.968,0.479,119.526,4.304216666666667
Miss You - Live,Steel Wheels Live,2020,0,20,0.435,0.978,-4.532,0.114,0.0581,0.0169,0.968,0.337,122.82,6.720433333333333
Terrifying - Live,Steel Wheels Live,2020,0,18,0.402,0.956,-5.325,0.134,0.0678,3.63e-05,0.969,0.362,136.785,4.98955
Ruby Tuesday - Live,Steel Wheels Live,2020,0,22,0.359,0.875,-5.184,0.0474,0.659,1.19e-05,0.961,0.526,108.143,3.7957666666666667
Salt Of The Earth - Live,Steel Wheels Live,2020,0,26,0.254,0.95,-4.915,0.116,0.406,0.00073,0.978,0.292,92.903,6.031766666666667
Rock And A Hard Place - Live,Steel Wheels Live,2020,0,19,0.4,0.964,-4.498,0.118,0.0114,0.000308,0.969,0.268,135.158,5.086
Mixed Emotions - Live,Steel Wheels Live,2020,0,21,0.412,0.971,-4.804,0.0751,0.0678,0.000789,0.974,0.527,136.124,5.307766666666667
Honky Tonk Women - Live,Steel Wheels Live,2020,0,23,0.368,0.987,-4.482,0.115,0.0137,0.00329,0.96,0.342,120.346,4.91
Midnight Rambler - Live,Steel Wheels Live,2020,0,21,0.306,0.957,-5.216,0.0984,0.108,0.0994,0.9,0.263,143.646,10.34355
You Can't Always Get What You Want - Live,Steel Wheels Live,2020,0,22,0.228,0.953,-4.733,0.102,0.193,0.000442,0.972,0.48,88.625,7.2984333333333336
Little Red Rooster - Live,Steel Wheels Live,2020,0,19,0.333,0.946,-4.046,0.137,0.157,0.0174,0.969,0.361,104.578,6.326216666666666
Boogie Chillen - Live,Steel Wheels Live,2020,0,22,0.421,0.953,-5.438,0.152,0.0137,0.113,0.971,0.228,78.932,5.537766666666666
Can’t Be Seen - Live,Steel Wheels Live,2020,0,16,0.333,0.961,-5.772,0.146,0.000293,0.000543,0.951,0.25,78.24,6.102666666666667
Happy - Live,Steel Wheels Live,2020,0,15,0.214,0.958,-4.262,0.114,0.0971,0.00359,0.935,0.135,76.239,4.5517666666666665
Paint It Black - Live,Steel Wheels Live,2020,0,19,0.208,0.981,-4.233,0.207,0.0041,1.76e-05,0.939,0.126,166.042,3.84155
2000 Light Years From Home / She’s A Rainbow / Keyboard Duet - Live,Steel Wheels Live,2020,0,16,0.158,0.855,-7.001,0.078,0.0303,0.0219,0.708,0.0612,99.535,7.402666666666667
Sympathy For The Devil - Live,Steel Wheels Live,2020,0,20,0.481,0.98,-5.127,0.123,0.0878,0.00235,0.952,0.28,110.017,7.684433333333334
Gimme Shelter - Live,Steel Wheels Live,2020,0,19,0.324,0.971,-4.769,0.116,0.0194,0.000269,0.957,0.31,128.288,7.532666666666667
It's Only Rock 'N' Roll (But I Like It) - Live,Steel Wheels Live,2020,0,16,0.372,0.985,-4.506,0.135,0.0492,0.00217,0.809,0.433,139.787,4.8131
Brown Sugar - Live,Steel Wheels Live,2020,0,16,0.351,0.977,-4.315,0.104,0.00663,0.113,0.996,0.234,141.44,4.5986666666666665
(I Can't Get No) Satisfaction - Live,Steel Wheels Live,2020,0,17,0.203,0.978,-4.437,0.113,0.00303,0.0138,0.979,0.209,149.338,7.4291
Jumpin’ Jack Flash - Live,Steel Wheels Live,2020,0,17,0.157,0.977,-4.198,0.107,0.00527,0.562,0.961,0.228,141.473,6.601333333333334
Dancing With Mr D - 2020,Goats Head Soup (Deluxe),2020,3,28,0.63,0.876,-4.346,0.0309,0.208,0.142,0.107,0.944,106.044,4.8726666666666665
100 Years Ago - 2020,Goats Head Soup (Deluxe),2020,3,30,0.398,0.804,-5.255,0.0455,0.151,0.173,0.217,0.687,124.305,3.9688833333333333
Coming Down Again - 2020,Goats Head Soup (Deluxe),2020,2,25,0.483,0.397,-8.76,0.0308,0.76,0.519,0.111,0.384,71.902,5.9028833333333335
Doo Doo Doo Doo Doo (Heartbreaker) - 2020,Goats Head Soup (Deluxe),2020,3,35,0.461,0.726,-5.138,0.0285,0.00794,0.427,0.473,0.522,111.117,3.446
Angie - 2020,Goats Head Soup (Deluxe),2020,2,42,0.441,0.488,-6.404,0.0307,0.171,2.24e-05,0.112,0.397,136.956,4.536216666666666
Silver Train - 2020,Goats Head Soup (Deluxe),2020,3,24,0.425,0.919,-2.684,0.0365,0.138,0.793,0.566,0.883,147.821,4.437766666666667
Hide Your Love - 2020,Goats Head Soup (Deluxe),2020,3,24,0.537,0.707,-4.873,0.0291,0.691,0.785,0.132,0.771,110.06,4.1971
Winter - 2020,Goats Head Soup (Deluxe),2020,2,28,0.393,0.597,-6.395,0.0307,0.155,0.403,0.285,0.516,74.941,5.49
Can You Hear The Music - 2020,Goats Head Soup (Deluxe),2020,2,23,0.333,0.622,-7.039,0.0281,0.155,0.00016,0.234,0.467,73.157,5.528433333333333
Star Star - 2020,Goats Head Soup (Deluxe),2020,3,27,0.575,0.949,-4.432,0.0542,0.121,0.453,0.144,0.783,142.253,4.394433333333334
Scarlet,Goats Head Soup (Deluxe),2020,0,37,0.482,0.948,-3.389,0.179,0.0431,0.369,0.252,0.644,172.674,3.7382166666666667
All The Rage,Goats Head Soup (Deluxe),2020,3,31,0.544,0.876,-4.33,0.0362,0.0176,0.665,0.063,0.907,133.026,4.186216666666667
Criss Cross,Goats Head Soup (Deluxe),2020,3,25,0.555,0.94,-4.232,0.0762,0.0145,0.628,0.057,0.668,131.951,4.5391
100 Years Ago - Piano Demo,Goats Head Soup (Deluxe),2020,2,25,0.554,0.413,-7.8,0.0276,0.935,0.000994,0.145,0.414,105.219,2.7168833333333335
Dancing With Mr D - Instrumental,Goats Head Soup (Deluxe),2020,3,21,0.479,0.865,-5.182,0.0483,0.106,0.947,0.0542,0.801,113.555,3.514883333333333
Heartbreaker - Instrumental,Goats Head Soup (Deluxe),2020,2,26,0.363,0.759,-8.022,0.0297,0.447,0.888,0.153,0.105,105.236,3.2937666666666665
Hide Your Love - Alternate Mix,Goats Head Soup (Deluxe),2020,3,21,0.441,0.823,-5.4,0.053,0.173,0.75,0.244,0.689,108.276,5.29555
Dancing With Mr D,Goats Head Soup (Deluxe),2020,3,19,0.661,0.938,-4.393,0.0343,0.522,0.104,0.0497,0.964,105.758,4.565333333333333
Doo Doo Doo Doo Doo (Heartbreaker),Goats Head Soup (Deluxe),2020,3,32,0.468,0.828,-5.887,0.0411,0.265,0.0972,0.227,0.686,110.044,3.434
Silver Train,Goats Head Soup (Deluxe),2020,3,18,0.467,0.903,-5.159,0.0369,0.259,0.0553,0.492,0.869,147.406,4.5171
